user_id,item_list
84,20496 23127 20148  9851   141 23711  4620 10191 21854 24410
85,23774 11533  3580  2478  8984 13503  5952  8860  3737 25596
86, 6446  8955 15161 16779 20500 23039 13964  5479 11951 25783
87, 2001  6446 23468  2888 23651 18798 21021   679 16793 13081
88, 9851  9438 10269 22554  8811 18293  3803  7202 19401 23711
89,11785 22716 21236  8070  3701 25547 11557 25373 14826 10215
90, 4620 18190 19089  5717 19480  6088  2333  2665 13541   921
91, 4824 18949 16758  3382  7063 22592 11848 13020 25044 25419
92,19480  2665 12409 20146 19709 16630  7494 17723 20095  8894
93,10269 25675  9438 19152 12061  6835 19864  9851 22554  4147
94, 3599 14373 13030 13541  3983 10788 11190 14016 21854  6876
95,14413  9526  5447 11339  8593 19291 21264  2216  6235  1150
96,23331  8529  6698 19891  3812  3613 19468  5218 10294  3867
97,12554  4502 24355 19874 18419 19429 13850 20308 21428 18512
98,24355 19874  4502 17668 20308  5581 15234  4257 17838 19879
99,18512 14684 11623  7839  7541 19480 19007 17130 17723 25209
100,11112  4766 24481  6002 16241  1409  1552 20290 19839 18886
101,21297 22554 25407  7511  4201 20325 11649  8097 16772  2426
102,15842 10956  6136 22484 13057 19596 10922 22354  3673  9031
103,19781   867 19704 17065 11796 24908 24497 11067  3348  8544
104,10581 19874 22653 14684 24355  5756 11550 24909 19480 23534
105,22750   942  2174  9375 22554 25675 15790  8840  7202 19620
106,23299 23711 22356 12061  8811  3674  9851 10786   275  3668
107, 1863  7266  8786  4940  8560 21552 22645 13628 18122 13666
108,18544 14378 22121 24747 14356 25101  3539 20936  1430 10537
109,10162   484  7363 13226  7049  2679 20688  2888  4664   970
110,15196  5150 14554 17546  8432  1095 17218 20841  7144  3848
111,24546  1205 15122 11931     6 24438 13343  5625  2237  7839
112, 5292  8671 23474 17418 10269 16341 12046   429 14568 16022
113,23723 16987 15563 10328  5574  9241 13424 24655  6365  8558
114,25880 14100  7455  4194 12042  3292  3442  9125 13165 11569
115,24075 22554 13615  9438 19792 13831  5154 12923 25260 10688
116,14356  6297 11820 15903 19602 15364 20146  8394  4038 15196
117,17803 25863  1250  2017  2259 15821 25331  8773  3073 13931
118,23086 11527 10311 12162  1151 19823 18899  7350 18334 25834
119, 4502 13070 19874 11253 14104 15234 17565  1350 14236 18541
120,24481 18987  1258 12722  5886  8022 25069 18419 21035 25446
121,12851 25858  2536  9751 16607 11153 18995 18576 22554  8557
122,16203 22024 22969  5950 15739 14626 23802 25317 10073  9822
123,21061 15572  4147  1869  8337  3630 19769 13887  1384 13294
124,22646  5717  2333 13541  4620  2868 23536 23711 15327 18190
125, 6502 25484 17668  4257   828    25  7753 23221 16538 24330
126,19434  7702 14317  3024  2895 13664  9931 16954 17931  3702
127,16570 18211 10085 10859 18226 16182 24387 15732  1378   132
128, 9851 10269 10786 25675  9438  1863  8538 23711  8811  9029
129,14045   861 11027 18708 13140 13284 25693  1181 16258  4619
130,24546  3527  9463 11055  7839 18343  8805 25766 25526 16124
131, 5713 24585 15723 22890 22548 25138  3916 21829 20297 25878
132,11701 12597 16187 11285 21927   341  8712  9008  8863 20411
133,11536 21631  6770 22862 22864 23155  1217 11159 14571  5479
134,21042  3497 17383 19035 13294 22121 12830 16577 22731 21037
135,16447  4302  6579 25440 23846  9646 11105 24746 23567 12836
136, 3911 18288 11550 13433  9529 24909 11226 19480 25909  8292
137,16726  3579 13373 23405  4184 15733 20963  2798 21409  7053
138,22754 14343   999 21095 15592 18100 14936 15200 10980 18790
139, 4463 10391  9347 21064 22102  8472 18837  2491 17800  6157
140,13433   433 15076 21153 12887  8007  3716  9940 17180  8733
141, 5078 17637 14684 11083 21857  2304 14386  6652 17565 15651
142,19480 20146  9851 10269 16630 25675 23600 20095  2665  8894
143, 2939  7668 11584  1975 20602 19855 14889 25533 24891  9708
144,19089 12409  7494 20146 19631 17723 16630  2854 19709 16365
145, 9591 22845  4100 25682 18119  3045 25675 18122 16874  6170
146,24075  5942 25675 12061 10786 22554 13118 19089  8538  1888
147, 3497  5930 14141   588 19070 16691 21061  5469  1064 21712
148,23154 25407  2426 10594  7333  1583  9322  5607 13381 10834
149,21653 21552 23666 12061 12056   773 10786 21583 25675 19480
150, 6198 19089 17723 20146 23600   247 20095  7494 23189 19709
151,19480 14978 11284 19089  6546 16524 11687 23214 23568 10494
152,12214 14481 18263  7635  7175  8828 13902  1830 16537 21404
153,15182  9195  9118 16263 18412 13609 20210 22684 20566 18928
154,17320  9859 19961 24660 24098  9140  9194 18484  7728 25463
155,24075 24694 25196 13014  2694  5717 24955 23457 15720  2432
156,25407 15691 10594 23154  9446  9555 10834  1583  3230  2426
157,24687 11701 11285  7585  9475 20411 11499 21260 13060  9209
158, 5150 15196  3261 17517 17546  7144 18367  9511  2388 24827
159,22151 23844 20919  3987  7030  3133 12709 16871  4447 13954
160, 6047 12601  3913 22731  4871 21355 11354  2375 18924 22040
161,17488  3827   414   333 16978  1477 17687  4893 19250 20946
162,18293 22128 14202  3473 22750 21552 12086 16485 12875 24751
163, 5907 15982 14641 25197 20366 22840 11832  2184 18394 21277
164,17819  9301  4549 20146  8322 17070  4878 25407 22517 14706
165, 5717  4620 21552  7639 11072 12061  8704  8524 24621 24075
166,19014 16075 13008 18175  5256  8517 11792 20179 12553 12273
167, 6878  2426 22848 10908 13711 11991 22651 13136  4980 18392
168,13823 22092 18138  2515 25418 24121  3030 24025 24077   376
169,25407 15691  7494  2426 23154 10594 10834 19089  5044  1583
170,17951  5952 20863  4366 22801 22688 13663  9913 24750 16402
171, 4512 25675 23424 19401 24075  9680 22554 22359 19564 12923
172,19781 11731  3380  9243 24908 22830 10514 24224 18163  6547
173,17209  9322  9733 13711 12050 25407  5669 18452 13136  4980
174, 6973 14838 17511 25407 13404 13928  3264 10345 20999 19480
175, 5756  8430  2507  7632 12099 20626 12305 23530 25957 25517
176, 6004 12061 21854  5717  9315 23127  2333  9284 13541 23711
177,25407 10594  6734 21920  9555 10834  1583 15691 17143 18282
178,22657  8251  7639 11436 18463  2759  8704 12972 15328  1863
179,16954  8304 25128 20894 20977 16197  5785 22402  7665  4284
180,14876  2579  5467  2597 10865 21498  3423 20074 23832 17464
181,19089 19480 13797 10269  8251 19709  4927 12409 25675 20108
182,15903 17517  3261  5150 22075 19973 17877 12223  9092 14554
183,23600 19709  7494 23481 12409 17723 20095 20146  6198  3165
184, 7823 15749 16394 16588 22567  9904 10491  9683 23851  2400
185, 5250   653 21255  4198  7607  6363  5673  3185 25204 15809
186, 7553 16394 12102  7013 19948   736 23895  3264  8322 21199
187,10747  2825  1254 19518  7243 23879 13763 18515  4790  8432
188,11823 11748  9017 23895  7460 24577  8649 17247 10747  3373
189,25407 16772  8097  5044 15691 10834 17229  9555 23141 12466
190,23154  6734 25171 10594 10834  9555  5108     5  7406  1056
191, 6897  8691 18806 23698 13690 20990 25892  1026  6081   263
192,24093 15764  8304 17820  4803  5412 24109    57  3997  6246
193,25541  3656 22613   484 24004 18945 13551 24243 23739 14356
194,24753 11367  1538 24566 18259 13348  6686  9022   473  1110
195,10020 14723  1092  7030  3133 23648 11706  8790   956 18503
196,10917   681 24383 19985  3744  5475  3497  4147  3921 17867
197,22075 16266  5272  8318 17315  9092  8427  6909 18758  5150
198, 6088 22646 23536  2868  9591 12061  3983  2090 15459 22359
199, 8249  6446 11121  6859 15013 22121  8990 20936 15234  9041
200, 7494 23244  1432  5491 13415  6865 11802 11869 17723 19666
201,19089 20146  1634 12119 19480 17760 19288 23263 23600 23481
202, 4341   868 10175 25575 24586 14172 25063  6264 20811 23935
203,24444  8987 19161 13686  4289 14253  3968 19705 11305 13867
204,12061  9851 24075 25675 21972  9591  9438  8560 22554 17225
205,23536  2333 18190  5717 21854 11792  9029  6088 18872 18528
206, 2333  7706 10786 20179 13189 22599   921  4620 19468 14695
207, 6239 23628  8158 25740  6760  4766 15006 12499 14019 14609
208, 5491  6865   471 11802 13415 25698 19908 11540  6111 12559
209,19874  4502 24355 17668 18419  4257 16538 15754 10418 15982
210,17908 25034  2798  7016 20915  8392 14190  9636  9500 12093
211, 6380  7836 18979 12236 13051 12906  5154  1341 10688   879
212, 7720  4728 19089  2448 22638 16705  7836  3070 21437 15503
213, 2720  6250  4987 16862 18463 11876  1050 17525 21085  8395
214,24075  5942  8531 10269 11223  9401 23799 15564 19668  9005
215,15925  7709  8676  1479 13894 23280   271 21947  5882  1038
216,18644  6510 14396  7012 16758  9304 19504 18949 16353 23398
217,16966  3348 24005  3469 16112  1387   562 16901 10979 14593
218,11334  9602 15196 21493 19010  5150 10766 17546  7313 21730
219, 8709   497 18793  9769 23328  9662 13424 13609  9716 15559
220,24075  9438 22554 10269 12061  9851 15564 18293 12923 25260
221, 7939 19826  6669 21551 18223 19178  3495 16534 22332    53
222,14684  4502 20308 18419 10418  5581 17668  4257  6612 19879
223, 9003  7639 13562  7167 10455 11732 17149 24900 22190  5191
224, 2485 19340  3788 15645  2679 15795 22949 15402  5806  2001
225,25407 16772 23255 24143 14362  1436 16431  8990 15954  9460
226,  769  8193 13019 22717 23506 16799  4756 17779 20424 14585
227,15124 19631 15363 21927 11737  9260  8823 12843 10522 20033
228,19631  2854 16365 19874 20191  9615  8097 12630  4203 24577
229,20637 20613 16222 17248 12083   891 14374 10188 23997  8680
230,  711  6097  7946 21373  6691 23133 22475 19596  3753    66
231,24075 22554  9438 18293  2597 12923 11441 10635 25260 10786
232, 1457  9533  7405 19180 22060 20166  8223 25335  4684 19111
233,14666   195  9859  5862 21024 10569  6666  6938 13625 25938
234,16577  5930   306 11197 25348 11354 10951 12601  3913 12943
235,21042 24921 23659 25416   194 23496  6047 16577 22731 16942
236, 6088 15459 13541 22359 22646 14418  9591 22003 25903  2333
237,14838  8959 17857    91  6810 24327  7284 15384 11896   214
238,18330  5497 16897 16871 20820  6139 21872 15394  5475  7114
239,10513 21802 11597  6616 13756  8753 25281  9618  7166 18799
240,21920 10730   588  4549  1064  8097 11991 10467  6274  1846
241,25308  3782 19123 11369  3266 10002  6121 21780 20003 10396
242, 1397 10592 15275  7487 20644 25675  8545  9060  6204 16810
243, 5907 11832 24517  5251 19970 14528  6796   800 16116 12101
244,25675  5078 24075  9438 14684  4502 16324   359 10786 20308
245, 5487  1785  3255  9284   999 23536 18190 16112 17552  7885
246, 2426 10594  1583  7991  6734 12818 18392  5044 17156 10981
247, 6358  6294 24216 23847  3130 22750 18293 14449 23004 15915
248,  281  1771 15929   656  8367 22520 13522  7728  5003 12167
249,19089 18984  7494 12409 16630 17723  6198 20146 24209  8894
250, 9159 14382 23335 12719  5152 19653  9857 11547 11067 22224
251,13128 19526  3613  6320 17793  1696  8529 18501  9190 20762
252,10347 24199  2281  8118 10380 19061 14506 24546  8401   229
253,17114  4605  9438  5522 10289  4115  8819 13552 18760 25909
254, 9438 25675 25407  5942 12061 22554  9851 23799 19089 10786
255, 4559  8175 21757 14006  3667 11876 23838 12845 25486  6127
256,14462 13290  3636  7484  5029 15740 23540  4331 10108 13072
257, 2426 14684  4502  9555 23154  7727  7883 12818  6327 10594
258,11618 23600 12409 16630 25430 20095  7494 20146 19480 19709
259,16324 14386 17637  2459 24711 11022  6652  5078 15651  8506
260,25407  6734  9555 10834 18392 12050  1583 10792  6878 13711
261,11855 16301  7030 19577  5324  5776  3281  9293  1750  2667
262, 8492  2441  7932  6222 19792  7506   468 21495 13831 14080
263,18949 19857 25711 14396 11645  3188 23801 21297 13020  7312
264,24355 18419 20308 22653  5581 10418  5078  4257 17668  7883
265, 4543 10269 12061 14696  3059 24322 23366 23270 13949 12807
266,15394  5475  8545 13490  2679   202 25170 17087  4477 14382
267,18486 21733  3127 16460 14282 14189  4002 13126 13652  6365
268, 2426 23468  6327 15691  9555 23154  7049 10834 23141 10594
269, 5044 16188 19089 11295  5646 16630 20673 23305 10035  4476
270,21854 23536  2333 13541 23299 11792  4254  7235 13851 16805
271, 6955   773  6802 10186  6114 10808 18268  8541  9851   422
272,25675  4512 18293  7202 19564 19401 24075  9438 15877 10301
273, 2426 23154  9555  7991  6734 17156 23141 16906 18392 13711
274,17517 24770  8318 25167 19402  9092 14917   658 10397   532
275, 7487 11748 17860 25675  4296 12453  3506  3092 19333 16574
276, 2306 18727 15898 17926 22323 21924  6833  3694 21705  6042
277, 5717 18190 12341 13541 18114  9284 23536  2333 21854  6662
278,11979 24420  1628 15379 14339 13438  1441  7117 17802   203
279, 6938 24098  2278 19961  1103 10604 23985 13513  9859 17199
280,23403  4502 24355 19874 15231 18419 10228 20308 15013 17668
281,12061 13541  2333  2300 18190 23536 21854 23711 15459  9284
282, 9703 23071  3810 16711  8064 19379 15724 15764  5223  9542
283,18190  4620  5717 23536 15327  6088  2333 15335  8285  2868
284,15898  4502 19874  9819 25407 14684 21812  9683 12214  5869
285,13865 25886  6743 15903  7109 15196 15234 21025 15636 12789
286, 7266  1863 13628  6923  2226 12445 21185 24970 21552 16239
287,25305 24200  1684  5933 13911  8537 21081  5733 10328 17369
288, 9234  7920 19363  8436  8742 25855 15337 18180 16461 13092
289, 3527 13433 17768 23840 10839   158 25494  5915  5877  7989
290,  471  6279 24962 14248 21704 11854  3418 10784  1538 22327
291,10865 15415  2579  4787 12808 17464 13885 22847 20371 22161
292, 7333 23689 17546 22608  2873  3971  6712 10747  7207  8216
293,21289 22754  1388 18246  6867 10980  3439 15473 25613  4587
294,23450  9876 23312 22257 18119 12339 21768  4590 13351 17036
295, 8784  1808  9477 18311 23783 13708  2729  2936 15656 16048
296,25407 19089 15691  7494  9555 16630 23154 23600 11295 20095
297,14104 11702 16011 13552 25766 12087 14506  5937 19281 19563
298,18512 20308 14684  9829 23109  8769 10820 21085   823  8395
299,14436 24661 19427 23579 25621 24640  8274 22159  8919 13119
300,25407 14356  5044 19715 13052   491 10226  2643 21476  2426
301,12409 20095 17723 19709  2665 16630 19480  8894 12119 22121
302,25903 10789  1378  6926 24405 21890 20802 13009 18768  8678
303, 7144 18636 22075  5857  9531 17546 15903  5150  5027  9092
304, 8704 23481 23600 20146 16630 14291  8544 11687 20095 12409
305,23258  9284 18190 23536  3255  5717 23711 17552 11716 15327
306,13686 11357 15993 11305  3905  1566  3968 24444 17745  1097
307, 6600 17240    52 17525 18246 14038 18838 25791  1170  8186
308, 2333 13541  2868  3983 18190  9029 15459  5717 21854 23711
309,25228  9179   520 14006  9813  7188   836   176  9781 14043
310,25071 19379 20657 24877 25407 20146 22445 16176  1240  8894
311,22548  8709 20300 18793  3037   459  5032 15559   497 17015
312,18190  5717 13541 15327  9284 23536  3835   921  8285 16112
313,22554 25675 24075 22750  6294 22128  9438 12061 25046  9851
314,22622 11702 13810 25458  4025 21248     6 25526 22313 24199
315, 6088  2333 13541  5717  1863 18190 11792 10450  4620 12061
316,11532 24862 19175 10542 24156 13226 17647  1672 14100  9297
317,10009 16503 20496  7235 15750 17707  2468 11792 18822  4209
318, 2327  1121  5821  6850 14637  2093 22378 23661 18565  5702
319, 3631 10161  6359 11375 10269 10838 12871 21266  3551  2421
320,12601   679 22121 25738  6446 15691  4351  3198 19852 21042
321,21802 11597 13494 17145 20163 15330 13756 24675 25281 17899
322,21596  3981 10552 24857 15595  5183  3395 18816 23124 25044
323,14684  1258 24014 18419 20308  4257 19355 17478   890 12413
324, 2401 22158  2639 11682 15899 12346 21375 16013  8052 10927
325,  359  8395 19874 20345  2835  9942 14684 17637 11700  1801
326,18241  8231  2791 14509 25718  9021  6816 19843  5108 16414
327,17925  9645 24929 20438 23447 16597  6638 17290  4238  8328
328, 7946 22010 15800 12714 22079 24999 10792 18899  2492 23895
329,14684 18512 19874 11832 22653 24355 14534 20308  5333  6316
330,10269  9438 22554 12061 10786  9851 18293  5942 25260 23799
331,23749  2286  5187 23197   504 16266 25702  1109 24969 18053
332,20290 20553 23799  3377  5327 12273 18531 14978  2197 14291
333, 5717 18190 11792  6088  9284  4620 10450  9218  9851 19114
334,21733  4218  9168 14189 11723 15197 15663 18486  6365  7508
335, 9851 24075 11792 25675  5717 23536 15459  2333 13363  4620
336,19874 14684 16538 10337 17668  4502 24355  9296 18243 14298
337,18398 14189 10747  2275 10707 21733 25192 18704 15983 12234
338,22118 19824  1531 11086  3846 15188  2403 25153  6210 20201
339, 9733 24070  4980 11348  8037 11340 12050  5952 17111 25407
340, 8395  2459 19874 17637 24711 16324   359  1801  2817  2835
341,15741   893 15053 22807  5676  6924  7775 11072  3081  2928
342,18190  9284 19401  6088 25675 19564  2868 10900 19588 16510
343,23795 20658  1565 15973 22982 14033 12849 18002  2248  9679
344,11871  5084 21139  4502  5815 18494 25702   592 21674 19874
345, 5549   681 13294  3422  7111 17104  9066  7039 17707 23215
346, 5078   359 23992 10418 11022 19874 16324  8430  6082  8395
347,16873  8229  7981 10994 17664  5815 15246 25741 25219  2067
348,19631 16365 15124 14684 25201 19874 10418  4502  2854 16116
349,13418   292 14769 13403 10437  4222 14253 13138 23109 13109
350,24898  8123  3660  4413 20335  7758 13748  4064 24138 13972
351,15552 16387 16122 10761 16145 17172  1195 20952 15161 24063
352,23536 15459  9591  2333 18190 22646  2868  5717  3983 12341
353,14291 13797 23600  8251 19709 11618 12409  9339 14895 19480
354,24603 17160  5593  9113   623 10990 15727 22260 24160 22577
355,11340 12050  4980 25407  8316  8309  9322  8037 23154 14211
356, 8987 15993 11305 16849  1097 19220  7311 25675 13686  6961
357, 3631 23737 17680 11721  1973 13858 22438  4737  3188 18759
358,15830  8524  7639 20496 14012  6782 24472  6915 24075 14462
359,14684  4502  5581 19874 12214  4257 15363  2551  1714 14836
360,21222 17517 12552 25930 22121 16558 15903   687  4986 21569
361, 7898 16865  5406 23460  4928 15892  4833 10329  6658  3249
362,  502  3497  5469  9060  3744  8529  4147 25407  8337  3299
363,16218  1422  8678 23444 11533 25695 20275 19648 21491   770
364,22359  9050 13541 14418 21982  6754  1378 20856 22787 24764
365, 3037   497  5032  9769 15559  4936  9662 15910   740  7611
366, 2049  6604 13809 17787 23771  5529  5832   267 15464   301
367,13485 23109   914 11925 25574  1907  7869   332  4825  3588
368, 9438 10269 22554 12061 10786  9851 18293  5942 25260 17130
369, 8431  5522 18984 19089  7494 24209 20095  2665  8894 12409
370,15908  4260 23504 20017 24964  1185 19312  4839 15562 14418
371, 8796 23523 12885 23852     4 21413 21072 17860 16332 22009
372,23536  4620  2333 21854 23711 10450  2868 22646  9284 13030
373, 7710 25130 17877 11748 15410  7873 21892 22466  2069  7514
374,13319 12191   574 24513 12080 15071 10057  9077 19614  5381
375, 2426 10594  9555 21061  2001  2679 13226   484  1583  3744
376,17230  9186  9116 20921  3863 23230 10775  1904  8560 13722
377, 7494 19480 20095 20146 19709 16630 17723  2665  3165 18317
378,13552   913  4781 18886 13328  2422   441 13108  6278 22701
379, 3744 21061 14141   588  4973 15572   502 13887  8986  1064
380,10594 23154 10834  9555 15691  6327  6734  1583 18392  8316
381,21527  6239 10182  6760 21680 19658 25740 22858 23628  5562
382, 7553 25675 16425 17860 23888 22126  7127 16574  6848  8491
383, 9438 22554 12061  9851 16890 23799  5942  5374  3849  7506
384,11730 23909 19910 11687 16630 13797 17760 11091 17348 19089
385,18399 11275  9777 14039 17478  3877 20777 23908  4662 19930
386,21147 19977 18839  1136 18837 22767  9989  4463  3720  3450
387, 1282 13540 17592  4553  2308  5887 25137  7973 13443  4356
388,23774  2118 13503 25596  5952 18397 12447  6450 23912  6912
389,23154  2426  9555 10594 10834  7991  6734 17156 13711 18392
390,23600 19480 12409  7494  2665 11658 11091 19709 20095 18930
391, 1210  7985 19693 10568  9438 15794 23242  4395 18095  4337
392,20986 21510  8538 17369  8242 23184  4768 13911  1684 11604
393,21304 20308 14684 19874 10073 24197  7829 13628 21512 24355
394,21030 20061  8538 19981 12612  3231 17277 25740 14291  2811
395,23537 20935  4147  7736 22445  2236 13294  8894  1068 24429
396,13508 16728 11772  6164 24170 12137  3200 18859 21195  5295
397, 2426 10594  1583  8990 12662 11468  6734  7991 20325 17156
398,21409  2798 20963 23405  4184 12381 15224  1702  7016  9294
399,11533  5952 15169  8860 19875 13503 12050  4366 13065  6708
400, 9398  8350 18245 16717  7850  8680  1329 14374 23392  1191
401, 8544  1863  9591  2996  4966 18293 24410 20711  8560 13541
402,12488  1151 19150  5616  1236 21373 19189 10284 12162 20903
403,13433  4502 19976  8430 17313 25801 21918  2531 13624 17718
404,22473  2751  5859 22000 18264 11356  9602  6426 17633  4858
405,14684 19874  4502 19879 18419 20308 10418 12847  6612  6329
406,14539  4015  5844  8396  2729 18987 15289  2274 15562  2835
407,25675 10269  9438 22554 12061  9851 10786  3663  5942 23799
408,19163  2134  9113 20568  9533  4393 18514  3657  2996  2598
409,16790 17418 11755 23149 17205   409 21641 11839 16964  7723
410, 1329 25737 16177 17248 23280 22662 17743 16688 16717 19949
411,16630 12914 13797 20095  8097 25814 19480 18984 15691 20146
412, 8097 16394 12914 15234  4257 17070 24577 25407 22010   736
413, 7266 13628 12801 21552  8560 16552  4940 22645 14385 18122
414,10269  9438 25675 12061  5942 10786  9851 22554 23127   610
415, 2109 15537 18870 14909 21996 15630  4686 21382 14019   275
416, 5771  3774  3345 24439  1164  7421  5113 24969  5472  2663
417,  927 16301 16241 17133  2459  5078 23844  9779  2113 24897
418,14684 18512  4502 19874 11737  6135 11672  8769 15028 15363
419, 9591 18122 12801  1960 13628 14385 25887  7108 22645 19822
420,14157  1959 24839 25235 23975 13232  9438  9520  1745 17374
421, 1702 16726 23405 20963  4184 17908  7053 21409 20203 15224
422,13283 14619 14159 21450  8645 22014 18097 21991 24806 15041
423, 9591  8544  4966 22511  8920 11452  8560 22645 13628 24410
424,20308 15363  6612 22653 18419  5581  1714 17668  4257  7585
425,21552  1863 22511 11868   544  8544 13541 22804  7639 24450
426, 5815 17370 14017 12454 22891  8295  8396 18714   592  2584
427,12719  9286 15238  8323 23776  1218  1900 25563   572  2265
428,23618   625 20362 12702 22731 16655 15331  3913 11354 23477
429,  304 14289  7993 13342 18852  4738 13232 14633 17855  6226
430,20686  5389  8493 11775  5478  1082 10643 10538  5514  1811
431,17418 14061 24992  5083  6884 15619  4670  2871 23079 23999
432,16775 25083  9092 15903 22075  8318 10397   658 17315 19778
433, 8769  9327 14684  8796 17739 20308 16786  6691  5266  8544
434, 4620  6829 15327 14593  7651 11764 23236 13410 21552  2202
435,10201   956  2579  9934 25315  6172 25868 15562  6380  1920
